"","kill_num","species","dod","utm_e","utm_n","age","year","month","day","jday","season","long","lat"
"155","16-344","elk",2016-12-14,547539,4975955,"young",2016,12,14,349,"fall",-110.397506559494,44.9354383146496
"156","17-316","elk",2017-02-18,535118,4981921,"old adult",2017,2,18,49,"winter",-110.554505139002,44.9898645089501
"157","17-317","elk",2017-02-26,534177,4982595,"young",2017,2,26,57,"winter",-110.566396246434,44.9959775814794
"158","17-318","mule deer",2017-03-01,542777,4978668,"adult",2017,3,1,60,"winter",-110.457625767074,44.9601621073934
"159","17-319","elk",2017-03-02,534384,4982305,"young",2017,3,2,61,"winter",-110.563789917268,44.9933570950324
"160","17-320","elk",2017-03-04,543560,4978884,"young",2017,3,4,63,"winter",-110.44767982743,44.9620588681267
"161","17-321","elk",2017-03-08,534493,4982408,"young",2017,3,8,67,"winter",-110.562400081002,44.9942789774681
"162","17-323","elk",2017-03-10,545577,4978630,"young",2017,3,10,69,"winter",-110.422129447685,44.9596459352498
"163","17-324","mule deer",2017-03-13,527518,4977401,"unk",2017,3,13,72,"winter",-110.651160807981,44.9495117219011
"164","17-325","mule deer",2017-03-14,546707,4976663,"unk",2017,3,14,73,"winter",-110.407984994745,44.9418665466599
"165","17-326","mule deer",2017-03-16,534974,4982376,"young",2017,3,16,75,"winter",-110.556300216809,44.993967379605
"166","17-327","elk",2017-03-18,537696,4983258,"yearling",2017,3,18,77,"winter",-110.521702512,45.001767424161
"167","17-328","elk",2017-03-17,544708,4975868,"yearling",2017,3,17,76,"winter",-110.433391600591,44.9348388180703
"168","17-329","mule deer",2017-03-25,540556,4978867,"unk",2017,3,25,84,"spring",-110.48576889998,44.9620836928901
"169","17-330","elk",2017-03-26,534990,4981425,"young",2017,3,26,85,"spring",-110.556163311457,44.9854059999391
"170","17-331","elk",2017-04-03,533830,4980562,"young",2017,4,3,93,"spring",-110.570935058478,44.9776937648746
"171","17-332","grouse",2017-05-11,538310,4981737,"unk",2017,5,11,131,"spring",-110.514027919291,44.9880430818232
"172","17-333","elk",2017-05-11,539920,4963374,"adult",2017,5,11,131,"spring",-110.495054628961,44.8226556604784
"173","17-334","elk",2017-05-17,537389,4975732,"yearling",2017,5,17,137,"spring",-110.526155786574,44.9340371088127
"174","17-336","elk",2017-05-23,534190,4979179,"young",2017,5,23,143,"spring",-110.566463120497,44.9652271495279
"175","17-338","elk",2017-05-24,543062,4962326,"old adult",2017,5,24,144,"spring",-110.455402222503,44.8130391366002
"176","17-339","elk",2017-05-25,531219,4982109,"young",2017,5,25,145,"spring",-110.603953599537,44.9917390598463
"177","17-340","marmot",2017-05-28,529807,4979533,"adult",2017,5,28,148,"spring",-110.62201831866,44.9686112332708
"178","17-341","elk",2017-05-28,541997,4963783,"young",2017,5,28,148,"spring",-110.468750083162,44.8262182273505
"179","17-342","elk",2017-05-29,529905,4982277,"young",2017,5,29,149,"spring",-110.620612743381,44.9933079420498
"180","17-343","mule deer",2017-05-30,528647,4983146,"young",2017,5,30,150,"spring",-110.636522474635,45.00118236388
"181","17-344","elk",2017-05-31,527259,4984636,"young",2017,5,31,151,"spring",-110.654052575576,45.014649663302
"182","17-345","pronghorn",2017-06-02,527081,4985134,"young",2017,6,2,153,"spring",-110.656284737939,45.0191393493696
"183","17-346","mule deer",2017-06-02,530296,4961770,"adult",2017,6,2,153,"spring",-110.61688042099,44.8086897703351
"184","17-347","elk",2017-06-03,527146,4984750,"young",2017,6,3,154,"spring",-110.655480493793,45.0156801967079
"185","17-348","elk",2017-06-05,525842,4984762,"young",2017,6,5,156,"spring",-110.672029124979,45.0158369421569
"186","17-349","elk",2017-06-06,529825,4982194,"young",2017,6,6,157,"spring",-110.62163255072,44.9925641644354
"187","17-350","mule deer",2017-06-07,528094,4955737,"adult",2017,6,7,158,"spring",-110.645059010923,44.7544701216265
"188","17-351","mule deer",2017-06-07,528094,4955737,"young",2017,6,7,158,"spring",-110.645059010923,44.7544701216265
"189","17-352","pronghorn",2017-06-08,534287,4979297,"adult",2017,6,8,159,"spring",-110.565225150449,44.9662846769971
"190","17-353","elk",2017-06-11,526859,4955914,"young",2017,6,11,162,"spring",-110.660652457498,44.7561109292539
"191","17-354","mule deer",2017-06-13,537872,4980389,"adult",2017,6,13,164,"spring",-110.51968519344,44.975932379948
"192","17-355","elk",2017-06-14,538001,4981257,"young",2017,6,14,165,"spring",-110.517983735353,44.983738911117
"193","17-356","elk",2017-06-15,536940,4981682,"young",2017,6,15,166,"spring",-110.531410158554,44.9876206186647
"194","17-357","mule deer",2017-06-15,527423,4962748,"adult",2017,6,15,166,"spring",-110.653158567917,44.8176098817883
"195","17-358","mule deer",2017-06-18,541189,4979332,"young",2017,6,18,169,"spring",-110.477705107211,44.9662330207578
"196","17-359","mule deer",2017-06-18,529990,4965163,"adult",2017,6,18,169,"spring",-110.620549662284,44.8392464993389
