"","X1","kill_num","species","dod","utm_e","utm_n","id","year","month","day","jday","season","coug_sex","long","lat","elevation"
"142",142,"18-296","mule deer",2018-03-13,527565,4986286,NA,2018,3,13,72,"winter",NA,-110.65007869772,45.0294906784851,1642.29
"143",143,"18-297","mule deer",2018-03-15,528223,4986421,NA,2018,3,15,74,"winter",NA,-110.641718358638,45.0306800104833,1733.78
"144",144,"19-055","mule deer",2019-02-18,518433,4984789,NA,2019,2,18,49,"winter",NA,-110.766057694047,45.0163113118751,1904.19
"145",145,"19-071","elk",2019-02-28,533829,4969485,NA,2019,2,28,59,"winter",NA,-110.571689414361,44.8779809962684,2530.67
"146",146,"19-074","mule deer",2019-03-05,514876,4987807,NA,2019,3,5,64,"winter",NA,-110.811111726929,45.0435623871759,2042.03
"147",147,"19-082","mule deer",2019-02-24,529738,4985342,NA,2019,2,24,55,"winter",NA,-110.622550177217,45.0209052329927,2051.56
"148",148,"19-083","mule deer",2019-03-04,529716,4985298,NA,2019,3,4,63,"winter",NA,-110.622832006813,45.020510080752,2046.45
"149",149,"19-084","elk",2019-02-25,529369,4985105,NA,2019,2,25,56,"winter",NA,-110.62724745591,45.0187872117088,1802.27
"150",150,"19-099","mule deer",2019-03-16,526170,4986879,NA,2019,3,16,75,"winter",NA,-110.667756204448,45.0348815859167,1690
"151",151,"19-102","mule deer",2019-03-11,535541,4983021,NA,2019,3,11,70,"winter",NA,-110.549061621967,44.9997452731348,1920.42
"152",152,"19-103","elk",2019-03-12,536920,4982679,NA,2019,3,12,71,"winter",NA,-110.531590753795,44.9965962927224,1732.89
"153",153,"19-104","elk",2019-03-16,534139,4982380,NA,2019,3,16,75,"winter",NA,-110.566892917324,44.9940440502009,1708.31
"154",154,"19-106","mule deer",2019-02-22,526238,4986968,NA,2019,2,22,53,"winter",NA,-110.66688827045,45.0356802241938,1690.23
"155",155,"19-107","mule deer",2019-02-23,526163,4986905,NA,2019,2,23,54,"winter",NA,-110.667843718213,45.0351158891377,1692.3
"156",156,"19-108","mule deer",2019-03-05,526172,4986824,NA,2019,3,5,64,"winter",NA,-110.667733678679,45.0343864174114,1693.28
"157",157,"19-109","elk",2019-03-05,526218,4986510,NA,2019,3,5,64,"winter",NA,-110.667166079939,45.0315581759519,1636.4
"158",158,"19-110","elk",2019-02-15,526207,4986423,NA,2019,2,15,46,"winter",NA,-110.667310258221,45.0307754326855,1621.65
"159",159,"19-111","mule deer",2019-02-25,526168,4986410,NA,2019,2,25,56,"winter",NA,-110.667806019732,45.0306598513781,1620.63
"160",160,"19-112","elk",2019-02-22,526147,4986391,NA,2019,2,22,53,"winter",NA,-110.668073591776,45.0304895936654,1611.47
"161",161,"19-113","mule deer",2019-03-03,526150,4986385,NA,2019,3,3,62,"winter",NA,-110.66803582075,45.0304354726091,1607.02
"162",162,"19-115","elk",2019-03-02,526265,4986442,NA,2019,3,2,61,"winter",NA,-110.666572985623,45.0309443182645,1620.98
"163",163,"19-120","elk",2019-03-11,526158,4986440,NA,2019,3,11,70,"winter",NA,-110.667931402663,45.0309302723624,1627.44
"164",164,"19-122","mule deer",2019-03-19,527567,4986276,NA,2019,3,19,78,"winter",NA,-110.650053857907,45.0294005835704,1638.88
"165",165,"19-124","mule deer",2019-02-24,525313,4986164,NA,2019,2,24,55,"winter",NA,-110.678672174533,45.0284764786042,1657.98
"166",166,"19-125","elk",2019-03-12,527396,4986191,NA,2019,3,12,71,"winter",NA,-110.6522291912,45.0286420685603,1617.06
"167",167,"19-133","elk",2019-03-20,528837,4985514,NA,2019,3,20,79,"winter",NA,-110.63397602493,45.0224907494771,1724.5
"168",168,"19-135","mule deer",2019-03-17,528609,4986147,NA,2019,3,17,76,"winter",NA,-110.636833912015,45.0281980675025,1777.43
"169",169,"19-137","mule deer",2019-03-01,526220,4986800,NA,2019,3,1,60,"winter",NA,-110.667125557979,45.0341686016033,1657.34
"170",170,"19-138","mule deer",2019-03-05,526222,4986790,NA,2019,3,5,64,"winter",NA,-110.667100689418,45.0340785103863,1653.5
"171",171,"19-139","mule deer",2019-02-28,526244,4986851,NA,2019,2,28,59,"winter",NA,-110.66681820866,45.0346268008652,1657.06
"172",172,"19-140","mule deer",2019-03-09,526495,4987512,NA,2019,3,9,68,"winter",NA,-110.663596820072,45.0405675918779,1739.68
"173",173,"19-144","elk",2019-03-12,526777,4978457,NA,2019,3,12,71,"winter",NA,-110.660498079049,44.9590459718237,2151.16
"174",174,"19-148","mule deer",2019-03-16,540416,4981851,NA,2019,3,16,75,"winter",NA,-110.487304668927,44.9889524611954,1737.21
"175",175,"19-149","elk",2019-03-18,540914,4981331,NA,2019,3,18,77,"winter",NA,-110.481029808718,44.9842431062559,1794.32
"176",176,"20-045","mule deer",2020-02-28,528367,4985611,NA,2020,2,28,59,"winter",NA,-110.639936076488,45.0233828790703,1752.73
"177",177,"20-051","mule deer",2020-03-05,533622,4982534,NA,2020,3,5,65,"winter",NA,-110.573441410728,44.9954549948286,1690.51
"178",178,"20-056","elk",2020-02-28,533343,4984081,NA,2020,2,28,59,"winter",NA,-110.576878464407,45.0093937553293,1987.33
"179",179,"20-058","mule deer",2020-03-09,526098,4979152,NA,2020,3,9,69,"winter",NA,-110.669070917203,44.9653275155152,2001.4
"180",180,"20-068","elk",2020-03-05,544393,4973259,NA,2020,3,5,65,"winter",NA,-110.437612752267,44.9113733426138,2096
"181",181,"20-072","elk",2020-03-01,524593,4986694,NA,2020,3,1,61,"winter",NA,-110.687785910151,45.0332727526133,1729.52
"182",182,"20-073","mule deer",2020-03-05,524589,4986686,NA,2020,3,5,65,"winter",NA,-110.687837081858,45.0332008774984,1728.95
"183",183,"20-074","elk",2020-03-12,526856,4978432,NA,2020,3,12,72,"winter",NA,-110.659497797558,44.9588179440726,2148.49
"184",184,"20-099","mule deer",2020-03-13,535995,4981551,NA,2020,3,13,73,"winter",NA,-110.543406611273,44.9864899560919,1935.07
"185",185,"21-035","mule deer",2021-02-16,519841,4990155,NA,2021,2,16,47,"winter",NA,-110.7479762687,45.0645768395675,1779.92
"186",186,"21-037","mule deer",2021-02-25,518908,4990728,NA,2021,2,25,56,"winter",NA,-110.759805684743,45.0697603745216,1678.07
"187",187,"21-038","elk",2021-02-28,533450,4982408,NA,2021,2,28,59,"winter",NA,-110.57563186681,44.9943289114876,1717.83
"188",188,"21-054","mule deer",2021-03-01,519904,4990950,NA,2021,3,1,60,"winter",NA,-110.747144490222,45.0717314473676,2069.45
"189",189,"21-055","mule deer",2021-03-05,520069,4990870,NA,2021,3,5,64,"winter",NA,-110.745051593263,45.071006649369,2047.99
"190",190,"21-058","elk",2021-02-17,540552,4981718,NA,2021,2,17,48,"winter",NA,-110.485590225254,44.9877474929918,1724.76
"191",191,"21-070","elk",2021-03-09,535148,4982954,NA,2021,3,9,68,"winter",NA,-110.554052467882,44.9991617414018,2038.68
"192",192,"21-075","elk",2021-03-12,528063,4984859,NA,2021,3,12,71,"winter",NA,-110.643836661016,45.0166256848666,1915.28
"193",193,"21-085","mule deer",2021-03-18,519917,4991405,NA,2021,3,18,77,"winter",NA,-110.74696126922,45.0758268653013,2159.47
"194",194,"22-005","mule deer",2022-01-07,525007,4980390,NA,2022,1,7,7,"winter",NA,-110.682843436639,44.9765110355862,1771.84
"195",195,"22-007","mule deer",2022-01-07,531354,4980451,NA,2022,1,7,7,"winter",NA,-110.602344216358,44.9768082317538,2057.17
"196",196,"22-008","elk",2022-01-09,523653,4977155,NA,2022,1,9,9,"winter",NA,-110.700167303798,44.9474364036878,1978.07
"197",197,"22-015","elk",2022-01-21,525567,4978794,NA,2022,1,21,21,"winter",NA,-110.675822169415,44.9621241685869,1795.61
